origin_id,dest_id,origin_lat,origin_long,dest_lat,dest_long,unidad,tipo_unidad,real_start,real_end,real_minutes,calculated_minutes,calculated_kms
35248,35361,19.6115,-99.2182,23.2467,-106.4381,20067,Thorton,2021-02-02 17:47:00,2021-02-03 13:20:00,1173,1150.4,999.23
35599,35596,20.3687,-100.7933,19.8885,-99.2431,28313,Thorton,2021-02-02 19:02:00,2021-02-02 23:05:00,243,265.6,221.49
35599,36889,20.3687,-100.7933,27.479,-99.6252,44752,Thorton,2021-02-02 18:29:00,2021-02-03 12:32:00,1083,1171.2,966.48
35752,35753,18.0072,-93.5873,17.9877,-93.1538,21914,Thorton,2021-02-02 06:37:00,2021-02-02 09:19:00,162,81.60000000000001,56.15
34980,34978,20.0175,-99.5273,19.5287,-99.2113,26409,Thorton,2021-02-02 18:06:00,2021-02-02 20:03:00,117,89.60000000000001,74.43
35601,35596,25.5021,-100.9677,19.8885,-99.2431,42322,Thorton,2021-02-02 18:36:00,2021-02-03 06:28:00,712,972.8000000000001,794.79
38078,34313,14.6765,-92.1556,19.151,-98.8605,20283,Thorton,2021-02-02 23:22:00,2021-02-04 16:46:00,2484,1363.2,1104.93
35599,35598,20.3687,-100.7933,25.8813,-100.2399,21160,Thorton,2021-02-02 17:06:00,2021-02-03 05:18:00,732,960.0,778.63
35248,35454,19.6115,-99.2182,25.8491,-97.5053,44719,Thorton,2021-02-02 16:36:00,2021-02-03 17:35:00,1499,1196.8,925.24
35601,35597,25.5021,-100.9677,20.721,-103.4845,36648,Thorton,2021-02-02 16:02:00,2021-02-03 14:31:00,1349,934.4000000000001,725.02
35248,35377,19.6115,-99.2182,20.6462,-105.2194,19936,Thorton,2021-02-02 17:19:00,2021-02-03 17:32:00,1453,980.8000000000001,848.62
35248,35389,19.6115,-99.2182,21.8801,-102.2616,21900,Thorton,2021-02-02 22:27:00,2021-02-03 14:00:00,933,542.4,463.51
35602,35596,22.0765,-100.8912,19.8885,-99.2431,23316,Thorton,2021-02-02 22:32:00,2021-02-03 12:30:00,838,422.40000000000003,347.49
35601,35596,25.5021,-100.9677,19.8885,-99.2431,38664,Thorton,2021-02-02 23:16:00,2021-02-03 12:30:00,794,972.8000000000001,794.79
35597,35596,20.721,-103.4845,19.8885,-99.2431,32249,Thorton,2021-02-02 20:34:00,2021-02-03 13:00:00,986,580.8000000000001,516.13
35601,35597,25.5021,-100.9677,20.721,-103.4845,20616,Thorton,2021-02-02 20:46:00,2021-02-03 13:01:00,975,934.4000000000001,725.02
35602,35598,22.0765,-100.8912,25.8813,-100.2399,20227,Thorton,2021-02-02 20:09:00,2021-02-03 12:59:00,1010,667.2,540.03
35248,35409,19.6115,-99.2182,25.7014,-100.2579,19799,Thorton,2021-02-02 19:35:00,2021-02-03 17:36:00,1321,1078.4,881.9
38063,34619,27.6959,-99.7721,19.0891,-98.1941,18264,Thorton,2021-02-02 20:23:00,2021-02-04 14:13:00,2510,1488.0,1259.5
35601,35596,25.5021,-100.9677,19.8885,-99.2431,38298,Thorton,2021-02-02 20:56:00,2021-02-03 13:01:00,965,972.8000000000001,794.79
34778,34619,27.5635,-99.5988,19.0891,-98.1941,44728,Thorton,2021-02-02 20:44:00,2021-02-03 18:41:00,1317,1452.8000000000002,1233.4
34402,36188,25.6931,-100.1578,20.5779,-103.3388,44747,Thorton,2021-02-02 21:49:00,2021-02-03 14:11:00,982,1017.6,809.62
34007,34394,19.5954,-99.2112,17.127,-96.7676,23844,Thorton,2021-02-03 00:00:00,2021-02-03 16:09:00,969,563.2,484.32
34466,34462,18.4534,-97.3919,19.4808,-99.1953,17702,Thorton,2021-02-03 23:19:00,2021-02-04 08:02:00,523,339.20000000000005,278.89
34466,34462,18.4534,-97.3919,19.4808,-99.1953,17695,Thorton,2021-02-03 02:00:00,2021-02-03 08:57:00,417,339.20000000000005,278.89
33815,34837,21.0559,-100.4705,20.3607,-102.0479,25672,Thorton,2021-02-03 01:36:00,2021-02-03 10:11:00,515,320.0,250.96
35601,36889,25.5021,-100.9677,27.479,-99.6252,29396,Thorton,2021-02-03 01:51:00,2021-02-03 12:30:00,639,331.20000000000005,285.36
35602,36889,22.0765,-100.8912,27.479,-99.6252,31789,Thorton,2021-02-03 02:19:00,2021-02-03 12:31:00,612,880.0,724.35
