origin_id,dest_id,origin_lat,origin_long,dest_lat,dest_long,unidad,tipo_unidad,real_start,real_end,real_minutes,calculated_minutes,calculated_kms,carga
35602,35596,22.0765,-100.8912,19.8885,-99.2431,25917,Thorton,2021-02-02 17:11:00,2021-02-03 00:13:00,422,422.40000000000003,347.49,1
35248,35377,19.6115,-99.2182,20.6462,-105.2194,19936,Thorton,2021-02-02 17:19:00,2021-02-03 09:39:00,980,980.8000000000001,848.62,1
35599,35564,20.3687,-100.7933,25.7652,-100.2408,27673,Thorton,2021-02-02 17:32:00,2021-02-03 09:44:00,972,972.8000000000001,780.86,1
35248,35361,19.6115,-99.2182,23.2467,-106.4381,20067,Thorton,2021-02-02 17:47:00,2021-02-03 12:57:00,1150,1150.4,999.23,1
34980,34978,20.0175,-99.5273,19.5287,-99.2113,26409,Thorton,2021-02-02 18:06:00,2021-02-02 19:35:00,89,89.60000000000001,74.43,1
35599,35566,20.3687,-100.7933,25.7026,-100.3251,30058,Thorton,2021-02-02 18:12:00,2021-02-03 10:00:00,948,948.8000000000001,765.91,1
35601,35596,25.5021,-100.9677,19.8885,-99.2431,39386,Thorton,2021-02-02 18:14:00,2021-02-03 10:26:00,972,972.8000000000001,794.79,1
35599,36889,20.3687,-100.7933,27.479,-99.6252,44751,Thorton,2021-02-02 18:20:00,2021-02-03 13:51:00,1171,1171.2,966.48,1
35601,35597,25.5021,-100.9677,20.721,-103.4845,20821,Thorton,2021-02-02 18:22:00,2021-02-03 09:56:00,934,934.4000000000001,725.02,1
35599,36889,20.3687,-100.7933,27.479,-99.6252,44752,Thorton,2021-02-02 18:29:00,2021-02-03 14:00:00,1171,1171.2,966.48,1
35601,35596,25.5021,-100.9677,19.8885,-99.2431,42322,Thorton,2021-02-02 18:36:00,2021-02-03 10:48:00,972,972.8000000000001,794.79,1
35601,35596,25.5021,-100.9677,19.8885,-99.2431,20766,Thorton,2021-02-02 18:43:00,2021-02-03 10:55:00,972,972.8000000000001,794.79,1
35601,35596,25.5021,-100.9677,19.8885,-99.2431,22945,Thorton,2021-02-02 18:46:00,2021-02-03 10:58:00,972,972.8000000000001,794.79,1
35248,35328,19.6115,-99.2182,20.6599,-103.4219,19933,Thorton,2021-02-02 18:53:00,2021-02-03 04:45:00,592,592.0,526.48,1
38201,35011,27.4345,-99.5591,17.0655,-96.725,44724,Thorton,2021-02-02 18:55:00,2021-02-04 01:11:00,1816,1816.0,1553.63,1
35601,35596,25.5021,-100.9677,19.8885,-99.2431,20822,Thorton,2021-02-02 18:55:00,2021-02-03 11:07:00,972,972.8000000000001,794.79,1
35599,35596,20.3687,-100.7933,19.8885,-99.2431,28313,Thorton,2021-02-02 19:02:00,2021-02-02 23:27:00,265,265.6,221.49,1
35248,35403,19.6115,-99.2182,25.5778,-103.4072,20069,Thorton,2021-02-02 19:28:00,2021-02-03 14:44:00,1156,1156.8,963.25,1
35248,35409,19.6115,-99.2182,25.7014,-100.2579,19799,Thorton,2021-02-02 19:35:00,2021-02-03 13:33:00,1078,1078.4,881.9,1
35602,35598,22.0765,-100.8912,25.8813,-100.2399,20227,Thorton,2021-02-02 20:09:00,2021-02-03 07:16:00,667,667.2,540.03,1
38063,34619,27.6959,-99.7721,19.0891,-98.1941,18264,Thorton,2021-02-02 20:23:00,2021-02-03 21:11:00,1488,1488.0,1259.5,1
