"VIAJEID","UBICACIONORIGENID","UBICACION_ORIGEN","DESC_UBICACION_ORI","LOCALIDAD_ORI","LATITUD_ORI","LONGITUD_ORI","UBICACIONDESTINOID","UBICACION_DESTINO","DESC_UBICACION_DEST","LOCALIDAD_DEST","LATITUD_DEST","LONGITUD_DEST","DEMORAINICIO","DURACIONVIAJE","HORARIOINICIOID","HI_COMPLETO","TIEMPOINICIOID","HORARIOINICIOREALID","HR_COMPLETO","TIEMPOINICIOREALID","HORARIOFINID","HF_COMPLETO","TIEMPOFINID","UNIDADID","TIPOUNIDADID","TIPOUNIDAD"
200558,34575,"sd","Benag-Guadalajara","Guadalajara",20.6779,-103.3355,34576,"SD","Benag-Ciudad De Mexico","SD",19.4323,-99.1278,0,1462,63001,"5:30:00 p.m.",20210204,63001,"5:30:00 p.m.",20210204,64321,"5:52:00 p.m.",20210205,44861,18,"Thorton"
210761,38578,"MORELOS ","T. DOBLADO / NAVE3 TEXCOCO/ EDOMEX","TEXCOCO",0,0,38585,"","TRANSPORTES DOBLADO/ REPARTO","",0,0,155,1224,63001,"5:30:00 p.m.",20210224,72301,"8:05:00 p.m.",20210224,59341,"4:29:00 p.m.",20210225,45819,24,"Trailer"
209536,38655,"LIBRAMIENTO APALIZADA","AVANTE/ CONF VILLA VICTORIA/ EDOMEX","Villa Victoria",19.4388,-99.9955,38840,"CRUECE FRONTERIZO","AVANTE EXP/ NUEVO LAREDO/ TAMAULIPAS","NUEVO LAREDO",0,0,44,1400,63001,"5:30:00 p.m.",20210222,65641,"6:14:00 p.m.",20210222,63241,"5:34:00 p.m.",20210223,45694,24,"Trailer"
209530,37018,"PARQUE INDUSTRIAL MIRAGE","MIRAGE / PQUE IND / GDL.","TLAJOMULCO",20.4616,-103.5171,37059,"Rodolfo G. Robles","MIRAGE / IMPORTACIONES CORTES / CULIACAN","Culiacán Rosales",24.8007,-107.4014,34,1109,63001,"5:30:00 p.m.",20210222,65041,"6:04:00 p.m.",20210222,45181,"12:33:00 p.m.",20210223,45692,18,"Thorton"
202946,34053,"FRAILE","AVANTE/ PLANTA/ SANTIAGO","Santiago Tianguistenco",19.1731,-99.4757,38648,"Industria Automotriz","AVANTE/ DISTRIBUIDORA TEXTIL/ TOLUCA","Toluca de Lerdo",19.2957,-99.5723,0,30,63001,"5:30:00 p.m.",20210210,63001,"5:30:00 p.m.",20210210,64801,"6:00:00 p.m.",20210210,41271,24,"Trailer"
202756,34053,"FRAILE","AVANTE/ PLANTA/ SANTIAGO","Santiago Tianguistenco",19.1731,-99.4757,38648,"Industria Automotriz","AVANTE/ DISTRIBUIDORA TEXTIL/ TOLUCA","Toluca de Lerdo",19.2957,-99.5723,789,123,63001,"5:30:00 p.m.",20210209,23941,"6:39:00 a.m.",20210210,31321,"8:42:00 a.m.",20210210,41271,24,"Trailer"
207904,34053,"FRAILE","AVANTE/ PLANTA/ SANTIAGO","Santiago Tianguistenco",19.1731,-99.4757,38648,"Industria Automotriz","AVANTE/ DISTRIBUIDORA TEXTIL/ TOLUCA","Toluca de Lerdo",19.2957,-99.5723,103,1,63001,"5:30:00 p.m.",20210219,69181,"7:13:00 p.m.",20210219,69241,"7:14:00 p.m.",20210219,41270,24,"Trailer"
203495,34053,"FRAILE","AVANTE/ PLANTA/ SANTIAGO","Santiago Tianguistenco",19.1731,-99.4757,38648,"Industria Automotriz","AVANTE/ DISTRIBUIDORA TEXTIL/ TOLUCA","Toluca de Lerdo",19.2957,-99.5723,0,151,63001,"5:30:00 p.m.",20210211,63001,"5:30:00 p.m.",20210211,72061,"8:01:00 p.m.",20210211,41270,24,"Trailer"
200584,34053,"FRAILE","AVANTE/ PLANTA/ SANTIAGO","Santiago Tianguistenco",19.1731,-99.4757,38648,"Industria Automotriz","AVANTE/ DISTRIBUIDORA TEXTIL/ TOLUCA","Toluca de Lerdo",19.2957,-99.5723,0,163,63001,"5:30:00 p.m.",20210205,54661,"3:11:00 p.m.",20210205,64441,"5:54:00 p.m.",20210205,41269,24,"Trailer"
209314,34453," ZINAPECUARO- ACAMBARO","AVANTE/ PLANTA/ ZINAPECUARO","Zinapecuaro de Figueroa",19.8763,-100.8161,38648,"Industria Automotriz","AVANTE/ DISTRIBUIDORA TEXTIL/ TOLUCA","Toluca de Lerdo",19.2957,-99.5723,0,415,63001,"5:30:00 p.m.",20210222,59941,"4:39:00 p.m.",20210222,84841,"11:34:00 p.m.",20210222,41269,24,"Trailer"
